log_id,node_id,json_status,http_response_code,response_time_ms,load_val,L_V1
0,412,OPERATIONAL,206,248,0.188538919077206,
1,82,OPERATIONAL,200,117,0.2152373833218445,
2,151,OPERATIONAL,429,216,0.3899390765914465,
3,256,OPERATIONAL,200,120,0.345487413260784,
4,160,OPERATIONAL,200,125,0.317746934863928,
5,241,OPERATIONAL,200,127,0.1002501388642111,
6,358,OPERATIONAL,200,118,0.2136395841909284,
7,10,OPERATIONAL,200,109,0.562642330202015,
8,307,OPERATIONAL,200,128,0.8747713489588511,
9,402,OPERATIONAL,200,115,0.5822829940268556,
10,274,OPERATIONAL,429,240,0.5104580235064274,
11,125,OPERATIONAL,206,236,0.8700873706476114,
12,67,OPERATIONAL,200,104,0.6900860999328826,
13,194,OPERATIONAL,200,117,0.4783864579581911,
14,343,OPERATIONAL,200,105,0.8466142497571146,
15,368,OPERATIONAL,200,120,0.3843023646812528,
16,63,OPERATIONAL,206,242,0.2168045612478531,
17,365,OPERATIONAL,200,105,0.5072573748122924,
18,141,OPERATIONAL,200,112,0.3406537775451775,
19,146,OPERATIONAL,200,117,0.3160230276375705,
20,132,OPERATIONAL,200,119,0.1158474240971869,
21,425,OPERATIONAL,200,118,0.1189210882731606,
22,116,OPERATIONAL,200,138,0.4680735137255615,
23,258,OPERATIONAL,200,138,0.2971982510581335,
24,55,OPERATIONAL,200,106,0.3993190475573851,
25,184,OPERATIONAL,200,110,0.6634835904050901,
26,380,OPERATIONAL,200,138,0.2431963312599151,
27,458,OPERATIONAL,200,111,0.2601623422973665,
28,145,OPERATIONAL,200,117,0.8797794733749086,
29,45,OPERATIONAL,200,108,0.7263062670959245,
30,181,OPERATIONAL,200,139,0.7604714755716487,
31,79,OPERATIONAL,200,115,0.7758585292904304,
32,419,OPERATIONAL,200,101,0.7964134491042744,
33,373,OPERATIONAL,200,126,0.8514780096140978,
34,124,OPERATIONAL,200,129,0.2876982412723307,
35,286,OPERATIONAL,200,130,0.6731511328690812,
36,355,OPERATIONAL,200,115,0.1949124352544736,
37,455,OPERATIONAL,200,140,0.6594709734735764,
