log_id,node_id,json_status,http_response_code,response_time_ms,load_val,L_V1
0,412,OPERATIONAL,206,248,0.18853891907720605,
1,82,OPERATIONAL,200,117,0.21523738332184453,
2,151,OPERATIONAL,429,216,0.38993907659144655,
3,256,OPERATIONAL,200,120,0.345487413260784,
4,160,OPERATIONAL,200,125,0.317746934863928,
5,241,OPERATIONAL,200,127,0.10025013886421111,
6,358,OPERATIONAL,200,118,0.2136395841909284,
7,10,OPERATIONAL,200,109,0.562642330202015,
8,307,OPERATIONAL,200,128,0.8747713489588511,
9,402,OPERATIONAL,200,115,0.5822829940268556,
10,274,OPERATIONAL,429,240,0.5104580235064274,
11,125,OPERATIONAL,206,236,0.8700873706476114,
12,67,OPERATIONAL,200,104,0.6900860999328826,
13,194,OPERATIONAL,200,117,0.4783864579581911,
14,343,OPERATIONAL,200,105,0.8466142497571146,
15,368,OPERATIONAL,200,120,0.3843023646812528,
16,63,OPERATIONAL,206,242,0.21680456124785313,
17,365,OPERATIONAL,200,105,0.5072573748122924,
18,141,OPERATIONAL,200,112,0.3406537775451775,
19,146,OPERATIONAL,200,117,0.3160230276375705,
20,132,OPERATIONAL,200,119,0.11584742409718692,
21,425,OPERATIONAL,200,118,0.11892108827316061,
22,116,OPERATIONAL,200,138,0.4680735137255615,
23,258,OPERATIONAL,200,138,0.2971982510581335,
24,55,OPERATIONAL,200,106,0.3993190475573851,
25,184,OPERATIONAL,200,110,0.6634835904050901,
26,380,OPERATIONAL,200,138,0.24319633125991516,
27,458,OPERATIONAL,200,111,0.26016234229736657,
28,145,OPERATIONAL,200,117,0.8797794733749086,
29,45,OPERATIONAL,200,108,0.7263062670959245,
30,181,OPERATIONAL,200,139,0.7604714755716487,
31,79,OPERATIONAL,200,115,0.7758585292904304,
32,419,OPERATIONAL,200,101,0.7964134491042744,
33,373,OPERATIONAL,200,126,0.8514780096140978,
34,124,OPERATIONAL,200,129,0.2876982412723307,
35,286,OPERATIONAL,200,130,0.6731511328690812,
36,355,OPERATIONAL,200,115,0.1949124352544736,
37,455,OPERATIONAL,200,140,0.6594709734735764,
38,65,OPERATIONAL,200,117,0.8318751148755784,
39,349,OPERATIONAL,200,111,0.519039066602926,
40,261,OPERATIONAL,200,119,0.22405864764026104,
41,98,OPERATIONAL,200,103,0.7292442292653328,
42,319,OPERATIONAL,200,106,0.8912481932198245,
43,180,OPERATIONAL,429,234,0.7331285009825413,
44,72,OPERATIONAL,200,112,0.38565877935411585,
45,284,OPERATIONAL,200,129,0.16726361397188388,
46,282,OPERATIONAL,200,106,0.20832830474264777,
47,355,OPERATIONAL,200,123,0.20789799336817688,
48,205,OPERATIONAL,200,101,0.5325886115973675,
49,170,OPERATIONAL,200,105,0.19241408646085506,
50,221,OPERATIONAL,200,117,0.30503125813648585,
51,181,OPERATIONAL,200,129,0.4313538192624635,
52,473,OPERATIONAL,200,129,0.5660617427927259,
53,364,OPERATIONAL,200,137,0.6014256541319607,
54,406,OPERATIONAL,200,106,0.17100167952561654,
55,99,OPERATIONAL,200,102,0.7776127316288223,
56,473,OPERATIONAL,200,124,0.6007992805151515,
57,43,OPERATIONAL,200,118,0.4938347611241001,
58,425,OPERATIONAL,200,101,0.5603471547340289,
59,61,OPERATIONAL,200,134,0.29936828315614045,
60,164,OPERATIONAL,200,109,0.8911981584190215,
61,486,OPERATIONAL,206,214,0.44018582748140767,
62,7,OPERATIONAL,200,116,0.10876556920611043,
63,155,OPERATIONAL,200,116,0.39144362367724395,
64,212,OPERATIONAL,200,118,0.4856823476034152,
65,282,OPERATIONAL,200,133,0.3339395397209458,
66,461,OPERATIONAL,200,116,0.15003157221659658,
67,45,OPERATIONAL,200,105,0.550650629921675,
68,370,OPERATIONAL,200,108,0.466298429334002,
69,295,OPERATIONAL,200,121,0.8823059938705986,
70,58,OPERATIONAL,200,140,0.16872429121872312,
71,27,OPERATIONAL,200,115,0.3017714497615643,
72,98,OPERATIONAL,200,136,0.43231848278767504,
73,36,OPERATIONAL,200,135,0.4520992111641198,
74,225,OPERATIONAL,429,222,0.3762472123482753,
75,488,OPERATIONAL,200,119,0.1447116569118271,
76,444,OPERATIONAL,206,234,0.6145370732492452,
77,405,OPERATIONAL,200,107,0.7478354521741157,
78,218,OPERATIONAL,200,109,0.35884574722252494,
79,472,OPERATIONAL,200,139,0.1523916790496599,
80,317,OPERATIONAL,200,114,0.6077691577512402,
81,339,OPERATIONAL,200,105,0.5972230830756444,
82,32,OPERATIONAL,200,105,0.7414013465872533,
83,183,OPERATIONAL,200,137,0.28249767486627486,
84,104,OPERATIONAL,200,114,0.8081018422671867,
85,48,OPERATIONAL,429,214,0.6236518721952121,
86,246,OPERATIONAL,206,211,0.6520720554800283,
87,405,OPERATIONAL,200,135,0.43351746886943887,
88,335,OPERATIONAL,200,139,0.7587976735932908,
89,95,OPERATIONAL,200,139,0.6005973253722562,
90,291,OPERATIONAL,200,118,0.632100327110556,
91,376,OPERATIONAL,200,123,0.7645845997311992,
92,399,OPERATIONAL,206,228,0.8122392100417327,
93,45,OPERATIONAL,200,106,0.5101215276190393,
94,351,OPERATIONAL,200,102,0.8810340448933703,
95,494,OPERATIONAL,200,128,0.686404920897491,
96,47,OPERATIONAL,206,247,0.30954289286803705,
97,330,OPERATIONAL,200,108,0.44856586467355175,
98,367,OPERATIONAL,200,103,0.6830973443056184,
99,357,OPERATIONAL,200,107,0.24390029444067318,
100,99,OPERATIONAL,200,119,0.5616303491793655,
101,318,OPERATIONAL,200,125,0.7234772673078397,
102,409,OPERATIONAL,200,134,0.8690282460582818,
103,194,OPERATIONAL,200,137,0.10115329603389506,
104,332,OPERATIONAL,200,103,0.15893647020692062,
105,374,OPERATIONAL,200,106,0.26071502944379377,
106,42,OPERATIONAL,200,137,0.8940386405074022,
107,442,OPERATIONAL,200,112,0.8012805567788663,
108,417,OPERATIONAL,200,116,0.531423379108498,
109,227,OPERATIONAL,200,115,0.8756155196989835,
110,120,OPERATIONAL,200,109,0.6155302958572588,
111,16,OPERATIONAL,200,106,0.1445419211845164,
112,35,OPERATIONAL,200,116,0.7395990081827201,
113,251,OPERATIONAL,200,137,0.8600754860787997,
114,497,OPERATIONAL,429,247,0.23004772795651895,
115,272,OPERATIONAL,200,107,0.18038523696939646,
116,248,OPERATIONAL,200,117,0.7686571074989365,
117,311,OPERATIONAL,200,105,0.5172014646762714,
118,234,OPERATIONAL,200,136,0.3144427605864516,
119,80,OPERATIONAL,429,248,0.6666721544365032,
120,160,OPERATIONAL,200,134,0.857466652821144,
121,25,OPERATIONAL,429,215,0.7793289139707972,
122,91,OPERATIONAL,200,111,0.6500970094701779,
123,2,OPERATIONAL,200,137,0.6257236077151355,
124,370,OPERATIONAL,200,116,0.28896933770731104,
125,144,OPERATIONAL,200,125,0.5789552792096478,
126,221,OPERATIONAL,200,107,0.5928742536907325,
127,166,OPERATIONAL,200,127,0.8340967890844077,
128,397,OPERATIONAL,206,220,0.796883488832543,
129,470,OPERATIONAL,200,104,0.6775515771331613,
130,61,OPERATIONAL,200,110,0.8378066475950879,
131,314,OPERATIONAL,200,113,0.3773130414140654,
132,377,OPERATIONAL,200,126,0.705388191076789,
133,280,OPERATIONAL,200,115,0.3045734869801743,
134,360,OPERATIONAL,200,120,0.33217652222481087,
135,38,OPERATIONAL,200,139,0.5296803589404498,
136,309,OPERATIONAL,200,106,0.1951525533969897,
137,475,OPERATIONAL,200,138,0.8784078084642867,
138,35,OPERATIONAL,200,111,0.7301316729796172,
139,211,OPERATIONAL,200,139,0.4900432325676255,
140,254,OPERATIONAL,200,111,0.7811757697073427,
141,234,OPERATIONAL,200,139,0.42970196738936806,
142,432,OPERATIONAL,206,210,0.5492847914253879,
143,17,OPERATIONAL,200,125,0.6845871397158154,
144,283,OPERATIONAL,200,129,0.16269896707768572,
145,258,OPERATIONAL,200,113,0.8409468278693026,
146,413,OPERATIONAL,200,120,0.5379202996374538,
147,271,OPERATIONAL,200,110,0.7122928837022838,
148,165,OPERATIONAL,200,117,0.10802868360890852,
149,73,OPERATIONAL,200,119,0.4497355936290134,
150,343,OPERATIONAL,200,105,0.8054150898374925,
151,358,OPERATIONAL,200,108,0.8457015174665459,
152,474,OPERATIONAL,200,126,0.7016930819829635,
153,479,OPERATIONAL,200,118,0.4536559303307882,
154,424,OPERATIONAL,200,108,0.6572904208301338,
155,259,OPERATIONAL,200,107,0.8461352253647131,
156,1,OPERATIONAL,200,140,0.7048460454355896,
157,77,OPERATIONAL,200,108,0.1436145846090005,
158,330,OPERATIONAL,200,112,0.3512815349301247,
159,97,OPERATIONAL,200,103,0.561674821342754,
160,418,OPERATIONAL,200,125,0.19732931532416975,
161,231,OPERATIONAL,200,126,0.8789265610587985,
162,26,OPERATIONAL,200,117,0.6398322387514999,
163,125,OPERATIONAL,429,235,0.6292315749101327,
164,277,OPERATIONAL,200,115,0.6642499477001742,
165,242,OPERATIONAL,200,126,0.12000755654786577,
166,456,OPERATIONAL,200,118,0.329051553351693,
167,155,OPERATIONAL,200,106,0.4594852622108999,
168,273,OPERATIONAL,200,111,0.8188059818688567,
169,318,OPERATIONAL,200,102,0.5616189222847934,
170,180,OPERATIONAL,206,241,0.1126559575026013,
171,490,OPERATIONAL,200,131,0.4908610285488729,
172,343,OPERATIONAL,200,123,0.3571863369285696,
173,81,OPERATIONAL,206,241,0.41225790300501874,
174,318,OPERATIONAL,200,117,0.7832661592842468,
175,199,OPERATIONAL,200,127,0.10559267756307299,
176,126,OPERATIONAL,200,115,0.6226061535794888,
177,3,OPERATIONAL,200,123,0.3910396124936679,
178,391,OPERATIONAL,200,130,0.35251334896823117,
179,456,OPERATIONAL,200,123,0.5283124632669541,
180,76,OPERATIONAL,200,134,0.4230460057805362,
181,26,OPERATIONAL,200,131,0.3650909400287443,
182,77,OPERATIONAL,200,128,0.11360279023633453,
183,149,OPERATIONAL,200,110,0.7835086084439736,
184,111,OPERATIONAL,200,113,0.694988293853527,
185,257,OPERATIONAL,200,119,0.2623875352520429,
186,456,OPERATIONAL,200,134,0.2710025563342281,
187,299,OPERATIONAL,200,119,0.8062196101384606,
188,173,OPERATIONAL,200,109,0.6600991127075778,
189,498,OPERATIONAL,200,112,0.7002851286596952,
190,59,OPERATIONAL,200,115,0.7336567674596388,
191,362,OPERATIONAL,429,242,0.4673503342053902,
192,452,OPERATIONAL,200,106,0.4432790503656526,
193,463,OPERATIONAL,429,236,0.143725350481132,
194,105,OPERATIONAL,200,129,0.2224302287787265,
195,104,OPERATIONAL,200,128,0.37417304236339843,
196,414,OPERATIONAL,200,138,0.45183773921164794,
197,361,OPERATIONAL,200,110,0.36799384736834195,
198,458,OPERATIONAL,200,101,0.7959829995227579,
199,173,OPERATIONAL,200,122,0.27850305799650454,
200,206,OPERATIONAL,200,104,0.5320936001738376,
201,145,OPERATIONAL,200,120,0.2906270657731856,
202,47,OPERATIONAL,429,246,0.26504631554307634,
203,266,OPERATIONAL,200,135,0.4443059817198233,
204,136,OPERATIONAL,200,120,0.48628832085566065,
205,291,OPERATIONAL,200,113,0.7381777326495333,
206,256,OPERATIONAL,200,126,0.6357149141494904,
207,201,OPERATIONAL,429,226,0.5654820615954628,
208,452,OPERATIONAL,200,131,0.39460365745764225,
209,99,OPERATIONAL,200,137,0.5661294359494454,
210,174,OPERATIONAL,429,223,0.6918526265643347,
211,82,OPERATIONAL,200,135,0.5988170232381081,
212,273,OPERATIONAL,200,108,0.10489080567722109,
213,57,OPERATIONAL,200,104,0.7389490286426352,
214,280,OPERATIONAL,200,129,0.10862171331206297,
215,182,OPERATIONAL,206,242,0.7173323862439024,
216,35,OPERATIONAL,200,132,0.2759561878087864,
217,258,OPERATIONAL,200,107,0.5419543526625992,
218,12,OPERATIONAL,429,222,0.8527848729810362,
219,313,OPERATIONAL,200,138,0.6819137299428217,
220,276,OPERATIONAL,200,114,0.4039114277544641,
221,73,OPERATIONAL,200,139,0.14737293463647472,
222,103,OPERATIONAL,200,105,0.45447880248753025,
223,337,OPERATIONAL,200,114,0.44057953224121127,
224,135,OPERATIONAL,200,101,0.15504941401557942,
225,68,OPERATIONAL,200,121,0.6580731122988744,
226,114,OPERATIONAL,429,214,0.845111681509013,
227,493,OPERATIONAL,200,136,0.6621453408990774,
228,41,OPERATIONAL,206,245,0.8749268196829515,
229,216,OPERATIONAL,200,131,0.37183602303956054,
230,4,OPERATIONAL,200,123,0.7008535269557908,
